	English words/sentences	French words/sentences
818	If it's all right with you, I'd like to stay for a while longer.	Si ça vous convient, j'aimerais rester encore un moment.
819	If it's all right with you, I'd like to stay for a while longer.	Si ça te convient, j'aimerais rester encore un moment.
820	No matter how hard I try, I can't do it any better than she can.	J'ai beau essayer, je n'arrive pas à le faire un tant soit peu mieux qu'elle.
821	We're going to eat a lot tonight so I hope you're not on a diet.	On va beaucoup manger ce soir alors j'espère que tu ne fais pas de régime.
822	Can you spare me a few minutes? I'd like to have a word with you.	Pouvez-vous me consacrer quelques minutes ? J'aimerais vous dire un mot.
823	Can you spare me a few minutes? I'd like to have a word with you.	Peux-tu me consacrer quelques minutes ? J'aimerais te dire un mot.
824	I am looking for a part-time job so I can buy a new video camera.	Je suis à la recherche d'un travail à temps partiel afin de pouvoir m'acheter un nouveau caméscope.
825	I feel a lot better now, but I know Dad's going to be real upset.	Je me sens beaucoup mieux maintenant, mais je sais que Papa va vraiment être contrarié.
826	I know you're not going to come to my party, but I wish you were.	Je sais que tu ne vas pas venir à ma fête mais j'aimerais que tu y viennes.
827	I know you're not going to come to my party, but I wish you were.	Je sais que vous n'allez pas venir à ma fête mais j'aimerais que vous y veniez.
828	I may have told you such a thing, but I don't remember it at all.	J'ai pu te dire une telle chose, mais je ne m'en rappelle plus du tout.
829	I told her that if I could be of any use I would be glad to help.	Je lui ai dit que, si je pouvais être d'une quelconque utilité, je serais ravi d'aider.
830	I told her that if I could be of any use I would be glad to help.	Je lui ai dit que, si je pouvais être d'une quelconque utilité, je serais ravie d'aider.
831	I told her that if I could be of any use I would be glad to help.	Je lui dit que, si je pouvais être d'une quelconque utilité, je serais ravi d'aider.
832	I told her that if I could be of any use I would be glad to help.	Je lui dit que, si je pouvais être d'une quelconque utilité, je serais ravie d'aider.
833	I'd like to buy a present for my son. Do you have any good ideas?	J'aimerais acheter un cadeau pour mon fils. Avez-vous la moindre bonne idée ?
834	I'd like to make a call to Tokyo, Japan. The number is 3202-5625.	Je voudrais passer un appel à Tokyo, au Japon, le numéro est 3202-5625.
835	I'll lend you any book that I have, as long as you keep it clean.	Je te prêterai tous les livres dont je dispose, pourvu que tu les gardes propres.
836	I'll lend you any book that I have, as long as you keep it clean.	Je vous prêterai tous les livres dont je dispose, pourvu que vous les gardiez propres.
837	I'm on a budget, so I don't eat out more than three times a week.	Comme j'ai un budget à respecter, je vais au restaurant pas plus de trois fois par semaine.
838	If I'd known what you were going to do, I'd've tried to stop you.	Si j'avais su ce que tu allais faire, j'aurais essayé de te stopper.
839	Tom doesn't have a cat. However, Tom does have a dog, doesn't he?	Tom n'a pas de chat. Cependant, Tom a un chien, n'est-ce pas ?
840	As soon as I can figure out how to send money, I'll send you some.	Dès que j'arrive à comprendre comment envoyer de l'argent, je vous en enverrai.
841	As soon as I can figure out how to send money, I'll send you some.	Dès que j'arrive à comprendre comment envoyer de l'argent, je t'en enverrai.
842	He can't swim at all, but when it comes to skiing, he is the best.	Il ne sait pas du tout nager, mais quand il faut skier, c'est le meilleur.
843	I thought if I broke up with you, I'd never have to see you again.	Je pensais que si je rompais avec toi, je n'aurais plus jamais à te revoir.
844	I'm not saying that we can't win. I'm just saying it's not likely.	Je ne dis pas que nous ne pouvons pas l'emporter. Je dis simplement que ce n'est pas probable.
845	I'm not saying that we can't win. I'm just saying it's not likely.	Je ne dis pas que nous ne pouvons pas gagner. Je dis juste que ce n'est pas probable.
846	If God had meant for us to be naked, we'd have been born that way.	Si Dieu avait voulu que nous soyons nus, il nous aurait fait naître comme ça.
847	If I tell my mother, she'll worry, so I don't think I'll tell her.	Si j'en parle à ma mère, elle va se faire du souci, donc je ne pense pas que je lui en parlerai.
848	If you were able to go camping with us, I think we'd all have fun.	Si vous étiez en mesure de venir camper avec nous, je pense que nous nous amuserions tous.
849	If you were able to go camping with us, I think we'd all have fun.	Si tu étais en mesure de venir camper avec nous, je pense que nous nous amuserions tous.
850	As long as I'm going to be in London, I ought to see a play or two.	Dans la mesure où je vais être à Londres, je devrais voir une ou deux représentations.
851	I don't care how much you want it. I'm not going to give it to you.	Je me fiche de combien tu le veux. Je ne vais pas te le donner.
852	I don't care how much you want it. I'm not going to give it to you.	Je me fiche de combien vous le voulez. Je ne vais pas vous le donner.
853	I don't know when I'll be able to pay you back the money I owe you.	Je ne sais pas quand je pourrai vous rembourser l'argent que je vous dois.
854	I don't know when I'll be able to pay you back the money I owe you.	Je ne sais pas quand je pourrai te rembourser l'argent que je te dois.
855	I won't go to all the meetings, but I'll try to go to some of them.	Je n'irai pas à toutes les réunions, mais j'essaierai d'aller à certaines d'entre elles.
856	If you go by bus, you can get there in about one-third of the time.	Si tu t'y rends par le bus, tu peux y être dans environ le tiers du temps.
857	If you go by bus, you can get there in about one-third of the time.	Si tu y vas par le bus, tu peux y être dans environ trois fois moins de temps.
858	My leg's gone to sleep, so I don't think I can stand up right away.	Ma jambe est ankylosée, alors je ne pense pas que je puisse me dresser tout de suite.
859	You can't beat me, Tom. I've been playing tennis since I was a kid.	Tu ne peux pas me battre, Tom : je joue au tennis depuis que je suis petit.
860	I haven't seen you for a long time. Come and see me once in a while.	Cela fait longtemps que je ne vous ai pas vu. Venez me rendre visite une fois de temps en temps.
861	In the summer, I go to the sea, and in the winter, to the mountains.	En été, je vais à la mer et en hiver à la montagne.
862	In the summer, I go to the sea, and in the winter, to the mountains.	L'été, je vais à la mer, l'hiver, je vais à la montagne.
863	It's a good idea, to be sure, but it's hard to put it into practice.	C'est assurément une bonne idée, mais c'est difficile à mettre en pratique.
864	Tom wants to call his uncle, but he can't seem to get a hold of him.	Tom veut appeler son oncle, mais il n'obtient pas la communication.
865	We did our best to help him, but he didn't so much as say thank you.	Nous fîmes de notre mieux pour l'aider, mais il ne dit même pas merci.
866	You don't have to make up an excuse if you don't want to go with us.	Tu ne dois pas trouver d'excuse si tu ne veux pas venir avec nous.
867	I had heard that he was fat, but I didn't think he would be that fat.	J'avais entendu qu'il était gros, mais je ne pensais pas qu'il serait si gros.
868	I'm sure I've met that man somewhere, but I don't remember who he is.	Je suis sûr d'avoir rencontré cet homme quelque part mais je ne me souviens plus qui c'est.
869	I'm sure I've met that man somewhere, but I don't remember who he is.	Je suis sûre d'avoir rencontré cet homme quelque part mais je ne me souviens plus qui c'est.
870	If anyone calls me up while I'm away, tell them I'll be back by five.	Si quelqu'un appelle pendant que je suis absent, dis-lui que je serai de retour à cinq heures.
871	If anyone calls me up while I'm away, tell them I'll be back by five.	Si quelqu'un appelle pendant que je suis absente, dites-lui que je serai de retour à cinq heures.
872	If you don't do this now, you'll regret it for the rest of your life.	Si tu ne le fais pas maintenant, tu le regretteras toute ta vie.
873	No one has the right to tell me what I can and can't do with my body.	Personne n'a le droit de me dire ce que je peux et ne peux pas faire avec mon corps.
874	I had a part-time job as a hotel maid, but I didn't like it very much.	J'avais un emploi à temps partiel comme femme de chambre dans un hôtel, mais je n'aimais pas beaucoup ça.
875	I want to do some bass fishing, but I don't know what to use for bait.	Je veux aller pêcher la perche mais je ne sais quoi employer comme appât.
876	I want to do some bass fishing, but I don't know what to use for bait.	Je veux aller pêcher la perche mais je ne sais qu'employer comme appât.
877	What's this song? I've heard it before, but I can't remember the name.	Quel est ce morceau ? Je l'ai déjà entendu quelque part mais le titre ne me revient pas.
878	You know as well as I do that we can't afford to buy that kind of car.	Tu sais aussi bien que moi que nous ne pouvons pas nous permettre d'acheter ce genre de voiture.
879	I'd like to know how much the meal was because I'd like to pay my half.	Je voudrais savoir combien a coûté le repas car j'aimerais payer ma part.
880	I'm not going to the library, but I can take you as far as the station.	Je ne vais pas à la bibliothèque, mais je peux vous emmener jusqu'à la gare.
881	It's a small noisy apartment, but it's where I live and I call it home.	C'est un petit appartement bruyant mais c'est où je vis et je l'appelle 'maison'.
882	Mary told Tom to go easy on the ice cream if he didn't want to get fat.	Marie a dit à Tom d'y aller doucement sur la glace s'il ne voulait pas grossir.
883	A long time ago when I was young, I used to write in my diary every day.	Il y a bien longtemps, quand j'étais jeune, j'écrivais dans mon journal tous les jours.
884	I can give you a copy of the report, but I can't vouch for its accuracy.	Je peux vous donner une copie du rapport, mais je ne peux pas en garantir l'exactitude.
885	I can put up with a house being untidy, but I don't like it to be dirty.	Je peux supporter une maison en désordre, mais je ne l'aime pas si elle est sale.
886	I can't make a decision on the spot. I'll have to talk to my boss first.	Je ne peux pas prendre de décision sur-le-champ. Je vais d'abord devoir parler à mon patron.
887	I didn't know that you were sick, so I didn't visit you in the hospital.	Je ne savais pas que tu étais malade, donc je ne t'ai pas rendu visite à l'hôpital.
888	No matter how hard you try, you won't be able to finish that in one day.	Vous aurez beau essayer, vous ne serez pas capable de finir cela en un jour.
889	No matter how hard you try, you won't be able to finish that in one day.	Vous aurez beau essayer, vous ne serez pas capable de finir ça en un jour.
890	No matter how hard you try, you won't be able to finish that in one day.	Vous aurez beau essayer, vous ne serez pas capables de finir cela en un jour.
891	No matter how hard you try, you won't be able to finish that in one day.	Vous aurez beau essayer, vous ne serez pas capables de finir ça en un jour.
892	No matter how hard you try, you won't be able to finish that in one day.	Tu auras beau essayer, tu ne seras pas capable de finir cela en un jour.
893	No matter how hard you try, you won't be able to finish that in one day.	Tu auras beau essayer, tu ne seras pas capable de finir ça en un jour.
894	"How far is it from here to your school? It's about ten minute's walk."""	« Combien de temps ça prend pour aller d'ici à ton école ? » « Environ 10 minutes à pied. »
895	As a boy, I used to lie on my back on the grass and look at white clouds.	Enfant, j'avais pour habitude de m'allonger dans l'herbe et de regarder les nuages blancs.
896	I don't think it'll rain, but I'll take an umbrella just in case it does.	Je ne pense pas qu'il va pleuvoir, mais je vais prendre un parapluie juste au cas où cela se confirmait.
897	I don't think it'll rain, but I'll take an umbrella just in case it does.	Je ne pense pas qu'il va pleuvoir, mais je vais prendre un parapluie avec moi, juste au cas où.
898	I held onto the rope for as long as I could, but I finally had to let go.	J'ai agrippé la corde aussi longtemps que j'ai pu, mais j'ai finalement dû la lâcher.
899	I knew I had to tell him the truth, but I couldn't bring myself to do it.	Je savais que je devais lui dire la vérité, mais je n'arrivais pas à m'y résoudre.
900	I knew that Tom didn't want to do that, but I wanted him to do it anyway.	Je savais que Tom ne voulait pas le faire, mais je voulais quand même qu'il le fasse.
901	I don't know my address yet, I'm going to stay with my friend for a while.	Je ne connais pas encore mon adresse, je vais habiter un temps chez mon ami.
902	I don't know my address yet, I'm going to stay with my friend for a while.	Je ne connais pas encore mon adresse, je vais habiter un temps chez mon amie.
903	I don't think it'll rain, but I'll take an umbrella with me, just in case.	Je ne pense pas qu'il va pleuvoir, mais je vais prendre un parapluie avec moi, juste au cas où.
904	I know what I should've done, but I just didn't have enough time to do it.	Je sais ce que j'aurais dû faire, mais je n'ai simplement pas eu assez de temps pour le faire.
905	I understand how much you want to go to the party, but I can't let you go.	J'ai bien compris à quel point tu veux aller à la fête, mais je ne peux pas te laisser partir.
906	As a result of a traffic jam, he wasn't able to see her off at the station.	Du fait des embouteillages, il n'a pas pu la voir partir depuis la gare.
907	He's a different person when he's drunk, so I don't like to drink with him.	C'est une personne différente quand il est saoul, donc je n'aime pas boire avec lui.
908	I'll do my best, but I'll not be able to finish it before Thursday at best.	Je ferai de mon mieux, mais je ne pourrai pas finir avant jeudi, au mieux.
909	She owes him a lot of money, but she probably won't be able to pay it back.	Elle lui doit beaucoup d'argent mais elle ne sera probablement pas en mesure de le rembourser.
910	We waited for the bus, but it was over 30 minutes late, so we caught a cab.	Nous avons attendu le bus, mais il avait plus de trente minutes de retard, donc nous avons pris un taxi.
911	I don't know if you remember me, but we met a couple of years ago in Boston.	Je ne sais pas si vous vous rappelez de moi, mais nous nous sommes rencontrés il y a quelques années à Boston.
912	I don't know if you remember me, but we met a couple of years ago in Boston.	Je ne sais pas si tu te rappelles de moi, mais nous nous sommes rencontrées il y a deux ans à Boston.
913	I'd like to go home now, but I have to stay here until I finish this report.	J'aimerais rentrer chez moi maintenant, mais je dois rester ici jusqu'à ce que je finisse ce rapport.
914	If a man had 11 sheep and all but 9 died, how many sheep would he have left?	Si un homme avait onze moutons et que tous sauf neuf mourraient, combien de moutons lui resterait-il ?
915	If only I'd been a couple of years older, they would've let me into the bar.	Si seulement j'avais eu quelques années de plus, ils m'auraient laissé rentrer dans le bar.
916	If only I'd been a couple of years older, they would've let me into the bar.	Si seulement j'avais eu quelques années de plus, ils m'auraient laissée rentrer dans le bar.
917	I used to use Twitter, but then found it a bit boring, so I stopped using it.	J'ai utilisé Twitter, mais j'ai ensuite trouvé ça ennuyeux alors j'ai arrêté de l'utiliser.
918	The flowers don't look well. I'd like to water them. Is there a watering can?	Les fleurs n'ont pas l'air bien. Je voudrais les arroser. Est-ce qu'il y a un arrosoir ?
919	Tom won't be able to do it by himself, so we need to ask someone to help him.	Tom ne sera pas capable de le faire de lui-même, nous devons donc demander à quelqu'un de l'aider.
920	Tom, Mary, John and Alice all went to the park to play on the merry-go-round.	Tom, Mary, John et Alice se rendirent tous au parc pour monter sur le manège.
921	An army of sheep led by a lion is better than an army of lions led by a sheep.	Une armée de moutons menée par un lion vaut mieux qu'une armée de lions menée par un mouton.
922	I don't think that it'll rain, but I'll take an umbrella just in case it does.	Je ne pense pas qu'il va pleuvoir, mais je vais prendre un parapluie avec moi, juste au cas où.
923	I was the last one to start in the race, but I soon caught up with the others.	J'étais le dernier à démarrer dans la course, mais j'ai bientôt rattrapé les autres.
924	I'll let you off this time, but I don't ever want to catch you stealing again.	Je te laisse filer pour cette fois, mais je ne veux plus jamais t'attraper en train de voler.
925	I'm sorry that I haven't been able to be here for you like I should have been.	Je suis désolé d'avoir été dans l'incapacité d'être là pour toi, comme j'aurais dû l'être.
926	I'm sorry that I haven't been able to be here for you like I should have been.	Je suis désolée d'avoir été dans l'incapacité d'être là pour toi, comme j'aurais dû l'être.
927	I'm sorry that I haven't been able to be here for you like I should have been.	Je suis désolé d'avoir été dans l'incapacité d'être là pour vous, comme j'aurais dû l'être.
928	I'm sorry that I haven't been able to be here for you like I should have been.	Je suis désolée d'avoir été dans l'incapacité d'être là pour vous, comme j'aurais dû l'être.
929	I'm the type who gets nervous in front of people, so I'm bad at speech making.	Je suis du genre à devenir nerveux devant un public, donc je ne suis pas bon pour faire des discours.
930	Tom knew deep down that it was all his fault, but he wasn't about to admit it.	Au fond, Tom savait que c'était de sa faute, mais il n'était pas prêt de le reconnaître.
931	You could at least try to be a bit more polite, even though it's not like you.	Tu pourrais au moins essayer d'être un peu plus poli, même si ce n'est pas dans ta nature.
932	You could at least try to be a bit more polite, even though it's not like you.	Vous pourriez au moins tâcher d'être un peu plus poli, même si ça ne vous ressemble pas.
933	You say you want to go to Boston? Why in the world would you want to go there?	Tu dis que tu veux aller à Boston ? Pourquoi mon Dieu veux-tu y aller ?
934	A man with a watch knows what time it is, a man with two watches is never sure.	Un homme avec une montre sait quelle heure il est, un homme avec deux montres n'en est jamais sûr.
935	I can't see what the two of them are doing, but they are making a lot of noise.	Je ne vois pas ce qu'ils font tous les deux, mais ils font beaucoup de bruit.
936	I don't have a lot of work, but it's enough to keep me in the office this week.	Je n'ai pas beaucoup de travail, mais c'est assez pour me garder au bureau cette semaine.
937	I don't think that it'll rain, but I'll take an umbrella with me, just in case.	Je ne pense pas qu'il va pleuvoir, mais je vais prendre un parapluie avec moi, juste au cas où.
938	I don't think that we're going to be able to catch the train you want to catch.	Je ne pense pas qu'on va pouvoir attraper le train que tu veux attraper.
939	I don't think that we're going to be able to catch the train you want to catch.	Je ne pense pas que nous allons pouvoir attraper le train que vous souhaitez attraper.
940	I don't think we're going to be able to catch the train that you want to catch.	Je ne pense pas qu'on va pouvoir attraper le train que tu veux attraper.
941	I don't think we're going to be able to catch the train that you want to catch.	Je ne pense pas que nous allons pouvoir attraper le train que vous souhaitez attraper.
942	I like pigs. Dogs look up to us. Cats look down on us. Pigs treat us as equals.	J'aime les cochons. Les chiens nous admirent d'en bas. Les chats nous regardent de haut. Les cochons nous traitent en égaux.
943	I tried to do my homework, but I didn't really know how to do it, so I gave up.	J'ai essayé de faire mes devoirs, mais je ne savais pas vraiment comment faire, alors j'ai abandonné.
944	It'll take some time, but I think I'll be able to learn how to play the guitar.	Ça prendra un peu de temps, mais je pense que je serai capable d'apprendre à jouer de la guitare.
945	Tom thought that Mary wanted him to kiss her, but he wasn't sure, so he didn't.	Tom pensait que Mary voulait qu'il l'embrasse, mais il n'était pas sûr, donc il ne l'a pas fait.
946	When my wife's friend comes to visit, I find it hard to get a word in edgeways.	Lorsque l'amie de ma femme vient lui rendre visite, j'ai du mal à en placer une.
947	Which would you rather do, stay at home and watch TV or go out and see a movie?	Que préféreriez-vous faire, rester à regarder la télévision à la maison, ou sortir au cinéma ?
948	You might think I'm too old for you, but I don't think you're too young for me.	Vous pensez peut-être que je suis trop vieux pour vous, mais je ne pense pas que vous êtes trop jeune pour moi.
949	You might think I'm too old for you, but I don't think you're too young for me.	Tu penses peut-être que je suis trop vieux pour toi, mais je ne pense pas que tu es trop jeune pour moi.
950	"Just go in and tell the boss you want a raise. That's easier said than done."""	«Entre seulement et dis au patron que tu veux une augmentation.» «Plus facile à dire qu'à faire.»
951	All you had to do was ask and I would have lent you as much money as you needed.	Tout ce que tu avais à faire était de demander et je t'aurais prêté autant d'argent que tu en avais besoin.
952	He says that he saw nothing. However, I don't believe what he says is the truth.	Il dit qu'il n'a rien vu. Cependant, je ne crois pas que ce qu'il dit est la vérité.
953	I admit he's smart, but does he have to talk over everyone's heads all the time?	Je reconnais qu'il est intelligent, mais doit-il convaincre tout le monde en permanence ?
954	I'd like to buy the car you're selling, but I don't have enough money right now.	J'aimerais acheter la voiture que vous vendez, mais je n'ai actuellement pas assez d'argent.
955	I'd love to be able to spend more time with you, but I have to get back to work.	J'adorerais pouvoir passer plus de temps avec vous, mais je dois retourner au travail.
956	In the winter, I like to stay at home near the fire and listen to the wind blow.	En hiver, j'aime rester à la maison, près du feu, et écouter le souffle du vent.
957	It isn't a question of what I want. It's a question of what's best for everyone.	Ce n'est pas une question de savoir ce que je veux. C'est une question de savoir ce qui est mieux pour tout le monde.
958	It isn't a question of what I want. It's a question of what's best for everyone.	Ce n'est pas une question de ce que je veux. C'est une question de ce qui est mieux pour tout le monde.
959	It's not a question of what I want. It's a question of what's best for everyone.	Ce n'est pas une question de savoir ce que je veux. C'est une question de savoir ce qui est mieux pour tout le monde.
960	It's not a question of what I want. It's a question of what's best for everyone.	Ce n'est pas une question de ce que je veux. C'est une question de ce qui est mieux pour tout le monde.
961	The press can't ignore us forever. Sooner or later, they'll do a story about us.	La presse ne peut pas nous ignorer éternellement. Tôt ou tard, ils feront un article à notre sujet.
962	We don't have a lot of money, but we have enough to buy what we absolutely need.	Nous n'avons pas beaucoup d'argent, mais nous en avons assez pour acheter ce dont nous avons absolument besoin.
963	By postponing what you have to do, you run the risk of never being able to do it.	En remettant à plus tard ce qu'on a à faire, on court le risque de ne jamais pouvoir le faire.
964	I didn't know the city, and what's more, I couldn't speak a word of the language.	Je ne connaissais pas la ville, et qui plus est, je ne savais pas un mot de la langue.
965	I didn't know where Tom was going, but I had a good idea where he might be going.	Je ne savais pas où allait Tom, mais j'avais une bonne idée d'où il allait.
966	I didn't know where Tom was going, but I had a good idea where he might be going.	Je ne savais pas où allait Tom, mais j'avais une bonne idée de la direction qu'il pouvait prendre.
967	I don't know if it will be fine tomorrow, but if it is fine we'll go on a picnic.	Je ne sais pas s'il fera beau demain, mais s'il fait beau nous irons pique-niquer.
968	I have to be honest. I was a little bit nervous the first time I had an MRI scan.	Je dois être honnête, j'étais un peu nerveux la première fois que j'ai passé une IRM.
969	I promise I'll pay you back the money that I owe you before the end of the month.	Je promets que je te rembourserai l'argent que je te dois avant la fin du mois.
970	I promise I'll pay you back the money that I owe you before the end of the month.	Je te promets que je te rembourserai l'argent que je te dois avant la fin du mois.
971	I promise that I'll pay you back the money I owe you before the end of the month.	Je promets que je te rembourserai l'argent que je te dois avant la fin du mois.
972	I promise that I'll pay you back the money I owe you before the end of the month.	Je te promets que je te rembourserai l'argent que je te dois avant la fin du mois.
973	I wouldn't have agreed to do that if I'd know how much time it was going to take.	Je n'aurais pas accepté de faire ça si j'avais su combien de temps ça allait prendre.
974	I've had a slight sore throat since this morning. I wonder if I've caught a cold.	J'ai un léger mal de gorge depuis ce matin. Je me demande si j'ai attrapé un coup de froid.
975	In the first place, it's too expensive, and in the second place, I don't like it.	En premier lieu, c'est trop cher, et en second lieu, je ne l'aime pas.
976	When Tom opened the door, he saw Mary standing there with a six-pack and a pizza.	Lorsque Tom ouvrit la porte, il vit Marie se tenant là, avec un pack de six et une pizza.
977	"How much did you pay for this? About 20 euros."" ""Wow! That's incredibly cheap!"""	« Combien tu as payé pour ça ? » «Environ 20 euros. » « Whaouh ! Ce n'est pas cher du tout ! »
978	I know it's not what you were hoping for, but here's all the money I can give you.	Je sais que ce n'est pas ce que tu espérais, mais c'est tout l'argent que je peux te donner.
979	I know what time you said to be there, but I wasn't able to be there at that time.	Je sais à quelle heure vous avez dit d'être là mais je n'étais pas en mesure d'y être à cette heure-là.
980	I know what time you said to be there, but I wasn't able to be there at that time.	Je sais à quelle heure tu as dit d'être là mais je n'étais pas en mesure d'y être à cette heure-là.
981	I may not know a lot, but I do know that Tom doesn't know what he's talking about.	Je ne m'y connais peut-être pas beaucoup, mais je sais que Tom ne sait pas de quoi il parle.
982	I met an old man who says that he's never eaten at a restaurant in his whole life.	J'ai rencontré un vieil homme qui dit qu'il n'a jamais mangé dans un restaurant de toute sa vie.
983	I never for a moment imagined I'd be able to afford to live in such a fancy house.	À aucun moment n'ai-je imaginé que je serai en mesure de vivre dans une telle maison de rêve.
984	I saw a red car and a white one. The red one was nicer looking than the white one.	J'ai vu une voiture rouge et une blanche. La rouge était plus belle que la blanche.
985	I wasn't planning on doing that, but now that you suggest it, I may give it a try.	Je n'avais pas prévu de faire ça, mais maintenant que tu le dis, je vais peut-être essayer.
986	If my father had not been killed in the war, he would be over sixty years old now.	Si mon père n'avait pas été tué à la guerre, il aurait plus de soixante ans maintenant.
987	It'll take longer to tell you how to do it than to just go ahead and do it myself.	Ça prendra plus longtemps de t'expliquer comment faire que de simplement le faire moi-même.
988	It's no wonder Tom's sleeping poorly; he drinks up to twelve cups of coffee a day.	Ce n'est pas surprenant que Tom dorme mal, il boit jusqu'à douze tasses de café par jour.
989	Now that you know what the problem is, how long do you think it'll take to fix it?	Maintenant que tu sais quel est le problème, combien de temps penses-tu que ça prendra pour le résoudre ?
990	The more time I spend doing this, the less time I have to do things I enjoy doing.	Plus je passe de temps à faire ça, moins j'en ai pour faire des choses que j'aime faire.
991	When I was 10 years old, I thought that when I would be 16, my life would be cool.	Quand j'avais 10 ans, je pensais que quand j'en aurais 16, ma vie serait cool.
992	You may be able to pass unnoticed in a city, but in a village that's not possible.	Tu serais peut-être capable de passer inaperçu en ville, mais dans un village, ce n'est pas possible.
993	As soon as I can get a decent video camera, I'll start making videos to put online.	Dès que je peux avoir une caméra digne de ce nom, je commencerai à faire des vidéos à mettre en ligne.
994	I can't tell you. It's a secret and if I told you, it wouldn't be a secret anymore.	Je ne peux pas te le dire. C'est un secret et si je te le disais, ce ne serait plus un secret.
995	I didn't want to get married, but my parents really wanted me to, so I got married.	Je ne voulais pas me marier, mais mes parents le voulaient vraiment, alors je me suis marié.
996	I don't believe in astrology, but that doesn't mean that I don't read my horoscope.	Je ne crois pas en l'astrologie mais ça ne veut pas dire que je ne lis pas mon horoscope.
997	I had a lot of gumption when I was young, but now it seems to have all petered out.	Je jouissais de beaucoup de bon sens lorsque j'étais jeune mais cela semble s'être essoufflé.
998	I spend as much time working in the garden in one day as my brother does in a week.	Je passe autant de temps à travailler au jardin en un jour que ce que mon frère passe en une semaine.
999	I'm begging you, before freaking out on me listen to the end of what I have to say.	Je t'en supplie, écoute ce que j'ai à te dire jusqu'au bout avant de piquer une crise sur moi.
